id,category,sub_category,brand,model,power,price,compatibility,ESD,link,image
66,tools,hotair,Aixun,H310D,1000w,$70-140,,OK,https://s.click.aliexpress.com/e/_c3tSWdpZ,https://ae-pic-a1.aliexpress-media.com/kf/S4889c93add064ab9bfe7373b7ae1b21eS.jpg
67,tools,hotair,YCS,R1 Pro,1000w,$70-140,,OK,https://s.click.aliexpress.com/e/_c4X1CZwx,https://ae-pic-a1.aliexpress-media.com/kf/S4278328b24d0406f94c39257a6dfc343d.jpg
68,tools,hotair,Aixun,H312,1400w,$100-200,,OK,https://s.click.aliexpress.com/e/_c3D2rUvd,https://ae-pic-a1.aliexpress-media.com/kf/S0e7dc69610dc4307bd6db685973527f75.jpg
69,tools,hotair,SUGON,8620DX PRO,1300w,$100-200,,OK,https://s.click.aliexpress.com/e/_c3881eLh,https://ae-pic-a1.aliexpress-media.com/kf/S3a34cf27db2446118559670775259682g.jpg
70,tools,hotair,SUGON,8650Pro,1300w,$100-200,,OK,https://s.click.aliexpress.com/e/_c30acTNv,https://ae-pic-a1.aliexpress-media.com/kf/S0c753e2d65864d4e95a16bff003278e7R.jpg
71,tools,hotair,QUICK,861 Pro,1300w,$140-250,,OK,https://s.click.aliexpress.com/e/_c3lAlY7Z,https://ae-pic-a1.aliexpress-media.com/kf/S14c6cc857a554fef806d37e360aba754v.jpg
72,tools,hotair,YCS,R1 Ultra,1450w,$100-200,,OK,https://s.click.aliexpress.com/e/_c3Z5jrFl,https://ae-pic-a1.aliexpress-media.com/kf/Sd07f70a0e20d48498485dbb7242e8128E.jpg
73,tools,hotair,Aixun,H314,1400w,$100-200,,OK,https://s.click.aliexpress.com/e/_c37wizAb,https://ae-pic-a1.aliexpress-media.com/kf/S50a2531b0563410bba66ea49785fd974Q.jpg
74,tools,hotair,AiXun,H414D,1400W,$100-200,,OK,https://s.click.aliexpress.com/e/_c3sFAGW,https://ae-pic-a1.aliexpress-media.com/kf/S14eae974368a4ff2a9af4dec8e660169a.jpg
75,tools,tips,JBC,C245,,$15-40,1.1,OK,https://s.click.aliexpress.com/e/_c3vtdVrd,https://ae-pic-a1.aliexpress-media.com/kf/S008e20d3526c4902963df3466a751528W.jpg
76,tools,tips,QUICKO,C245,,$15-40,1.1,OK,https://s.click.aliexpress.com/e/_c44dyQjh,https://ae-pic-a1.aliexpress-media.com/kf/Se128ca2d5b84480fa9f5a92c50bde1b0t.jpg
77,tools,station,YIHUA,982-I C245,80W,$40-75,1.1,carefull,https://s.click.aliexpress.com/e/_c3loDd8P,https://ae-pic-a1.aliexpress-media.com/kf/Sa1e2e2d3b68a48fbaf3c8a333c2d3332q.jpg
78,tools,station,YIHUA,982-I C210,80W,$40-75,1.4,carefull,https://s.click.aliexpress.com/e/_c3loDd8P,https://ae-pic-a1.aliexpress-media.com/kf/Sa1e2e2d3b68a48fbaf3c8a333c2d3332q.jpg
79,tools,tips,GEEBOON,C245,,$15-40,1.1,OK,https://s.click.aliexpress.com/e/_c3bVqk9z,https://ae-pic-a1.aliexpress-media.com/kf/S631f9ab0f34e47cdb54342699d9e14031.jpg
80,tools,combo,YIHUA,8786D,,$50-90,1.3,danger,https://s.click.aliexpress.com/e/_c3QTwgbv,https://ae-pic-a1.aliexpress-media.com/kf/H696abd597a294c61abea55e68d6c91f9b.jpg
81,tools,combo,YIHUA,938BD-II,740w,$50-90,1.3,danger,https://s.click.aliexpress.com/e/_c4OW37cX,https://ae-pic-a1.aliexpress-media.com/kf/S5c309affc811414f80956c8f5a6b96caA.jpg
82,tools,combo,unbranded,8898,700w,$40-80,1.3,danger,https://s.click.aliexpress.com/e/_c4N5k6fv,https://ae-pic-a1.aliexpress-media.com/kf/A72ee34ce7f004bd58c53ae7a04b2d5eck.jpg
83,tools,combo,unbranded,8586,700w,$40-80,1.3,danger,https://s.click.aliexpress.com/e/_c3U3b7YP,https://ae-pic-a1.aliexpress-media.com/kf/A87df64a7e37c4ac597a621044a6418a3n.jpg
84,tools,combo,JCB,8898,750W,$40-80,1.3,danger,https://s.click.aliexpress.com/e/_c35IMBJd,https://ae-pic-a1.aliexpress-media.com/kf/Hd26b3172addc4ad387f49aa54f9f4ad6m.jpg
85,tools,combo,JCB,8586D,700w,$40-80,1.3,danger,https://s.click.aliexpress.com/e/_c4KUhtw7,https://ae-pic-a1.aliexpress-media.com/kf/Saa65d28ecf4d4ea2b0b789629f6d143eT.jpg
86,tools,wick,Fengshengxin,,,$3-12,,OK,https://s.click.aliexpress.com/e/_c45pxScx,https://ae-pic-a1.aliexpress-media.com/kf/H25f2ce35643f446eb878f7bedbfb982a3.png
87,tools,wick,MECHANIC,DW50,,$3-12,,OK,https://s.click.aliexpress.com/e/_c3kggOPt,https://ae-pic-a1.aliexpress-media.com/kf/Sa8c9e8a1c9a34287a7b560ea3aa83fccB.jpg
88,tools,wick,YCS,2015,,$3-12,,OK,https://s.click.aliexpress.com/e/_c4P3ybaL,https://ae-pic-a1.aliexpress-media.com/kf/S852b19e57cb24139b505b8795f2874daH.jpg
89,tools,wick,2UUL,DW21,,$3-12,,OK,https://s.click.aliexpress.com/e/_c3vjdn4r,https://ae-pic-a1.aliexpress-media.com/kf/S44701832e5ca40e6981e28fbfef1c69fm.jpg
